"Main","Day","TotalVol"
" EVANS AVE ","Monday",12094
" MCLEVIN AVE ","Thursday",12022
" LAKE SHORE BLVD E ","Tuesday",11863
" BELLAMY RD N ","Wednesday",11842
" THE POND RD ","Thursday",11819
" ST GEORGE ST ","Tuesday",11789
" CALEDONIA RD ","Thursday",11723
" BERMONDSEY RD ","Monday",11615
" SHOREHAM DR ","Wednesday",11599
" BRENTCLIFFE RD ","Wednesday",11551
" ROYAL YORK RD ","Monday",11517
" STRACHAN AVE ","Wednesday",11511
" MCLEVIN AVE ","Monday",11486
" MARTIN GROVE RD ","Wednesday",11472
" BAY ST ","Monday",11424
" DAVENPORT RD ","Tuesday",11393
" NORTH QUEEN ST ","Thursday",11385
" NORTH QUEEN ST ","Monday",11349
" SCARLETT RD ","Saturday",11072
" GREENWOOD AVE ","Monday",11060
" OAK ST ","Wednesday",11027
" QUEEN ST W ","Monday",10992
" HUMBER COLLEGE BLVD ","Tuesday",10936
" ST GEORGE ST ","Monday",10891
" CHESSWOOD DR ","Thursday",10812
" RONCESVALLES AVE ","Monday",10754
" YORKLAND RD ","Monday",10740
" RENFORTH DR ","Tuesday",10695
" PAPE AVE ","Thursday",10647
" WELLESLEY ST E ","Wednesday",10627
" DREWRY AVE ","Wednesday",10619
" SOUTH KINGSWAY ","Tuesday",10550
" CONSUMERS RD ","Wednesday",10305
" KEELE ST ","Saturday",10284
" ALNESS ST ","Monday",10181
" NORTH QUEEN ST ","Tuesday",10172
" HUMBER COLLEGE BLVD ","Wednesday",10137
" WILLOWDALE AVE ","Thursday",10116
" YORKDALE 401 ALLEN N RAMP ","Thursday",10027
" SIGNET DR ","Thursday",9932
" DON MILLS RD E ","Thursday",9790
" MCNICOLL AVE ","Monday",9766
" HOSKIN AVE ","Monday",9719
" SHERWAY GARDENS RD ","Tuesday",9713
" WILMINGTON AVE ","Tuesday",9708
" LOWER SHERBOURNE ST ","Wednesday",9655
" MEADOWVALE RD ","Wednesday",9618
" OAKWOOD AVE ","Wednesday",9481
" LUMSDEN AVE ","Thursday",9475
" CONSILIUM PL ","Thursday",9442
" MILITARY TRL ","Wednesday",9365
" ALLIANCE AVE ","Thursday",9278
" WICKSTEED AVE ","Tuesday",9275
" THE EAST MALL ","Monday",9190
" CUMMER AVE ","Wednesday",9132
" DANFORTH RD ","Monday",9062
" FENMAR DR ","Monday",9022
" WELLESLEY ST E ","Tuesday",8997
" SOUTHVALE DR ","Saturday",8991
" SENTINEL RD ","Wednesday",8961
" HORNER AVE ","Tuesday",8924
" TAPSCOTT RD ","Tuesday",8896
" CHAPLIN CRES ","Monday",8872
" BEECROFT RD ","Wednesday",8866
" GREENWOOD AVE ","Tuesday",8841
" GATEWAY BLVD ","Tuesday",8763
" CHRISTIE ST ","Monday",8745
" DONLANDS AVE ","Monday",8705
" MIDDLEFIELD RD ","Thursday",8673
" TRETHEWEY DR ","Thursday",8633
" CARLINGVIEW DR ","Wednesday",8629
" MORTIMER AVE ","Wednesday",8528
" BREMNER BLVD ","Wednesday",8482
" SCARLET RD ","Tuesday",8476
" MEADOWVALE RD ","Thursday",8471
" ANNETTE ST ","Monday",8470
" QUEENS QUAY E ","Monday",8464
" BIRCHMOUNT RD ","Monday",8462
" DUPLEX AVE ","Wednesday",8457
" BROADVIEW AVE ","Thursday",8455
" HUNTINGWOOD DR ","Monday",8440
" DAWES RD ","Monday",8431
" DAWES RD ","Thursday",8420
" ASHTONBEE RD ","Monday",8370
" DON MILLS RD E ","Monday",8329
" HALLAM ST ","Thursday",8325
" MORNINGSIDE AVE ","Tuesday",8313
" BERMONDSEY RD ","Tuesday",8308
" ANNETTE ST ","Tuesday",8273
" HUMBERWOOD BLVD ","Monday",8264
" COSBURN AVE ","Thursday",8259
" THE WESTWAY ","Wednesday",8214
" PASSMORE AVE ","Saturday",8202
" MARKHAM RD ","Thursday",8186
" ESTHER SHINER BLVD ","Monday",8059
" RONCESVALLES AVE ","Thursday",8054
" DAWES RD ","Wednesday",7998
" GUILDWOOD PKWY ","Thursday",7989
" THE WESTWAY ","Thursday",7969
" GARDINER E PARK LAWN RD RAMP ","Tuesday",7957
" FORT YORK BLVD ","Wednesday",7924
" OLD WESTON RD ","Tuesday",7918
